n;price;totsp;livesp;kitsp;dist;metrdist;walk;brick;floor;code
1;75;44;28;6;13,5;7;1;0;1;6
2;95;61;37;6;13,5;7;1;0;1;1
3;88;55;36;6;9;5;1;1;0;4
4;225;80;56;9;9;5;1;1;1;3
5;140;86;51;10;12,7;10;1;0;1;5
6;132;96;56;12;10,5;7;0;0;1;3
7;115;77;50;9;3,5;7;1;0;0;7
8;170;87;58;8;7,5;7;1;1;1;3
9;170;84;55;11;3;15;1;1;0;1
10;95;58;38;6;12;8;1;0;1;1
11;148;92;61;10;10,5;15;1;1;1;7
12;135;82;46;13;12;5;1;0;1;5
13;130;73;52;7;11;5;1;1;1;8
14;72;49;34;6;7;10;0;0;1;5
15;127;85;46;14;12;7;1;1;1;5
16;112;73;51;8;10,5;7;0;1;1;3
17;110;75;43;10;12,7;5;1;0;1;5
18;450;125;80;20;9;3;1;0;1;4
19;159;81;56;8;7,5;15;1;1;0;8
20;120;77;47;12;13,5;10;1;0;1;1
21;88;60;43;6;12;5;0;0;0;7
22;115;77;50;9;6;10;1;1;1;6
23;129;79;46;13;12;15;1;0;1;1
24;110;65;46;7;12,5;5;1;0;1;2
25;102;60;43;6;12;5;0;1;1;7
26;101;77;45;13;13;10;0;0;1;5
27;86;60;42;7;12;10;0;0;1;8
28;87;64;46;7;12;5;1;0;1;5
29;140;99;51;12;10,5;1;1;0;0;7
30;89;62;38;9;13;4;0;0;0;5
31;340;83;49;19;9;5;1;1;1;3
32;112;75;42;10;12;5;0;0;1;5
33;99;67;37;7;10,5;10;0;1;1;3
34;170;89;51;12;12,7;6;1;0;0;5
35;198;80;45;10;7;7;0;0;1;4
36;89;51;34;6;3,5;10;1;0;0;7
37;100;57;42;6;11;10;1;1;1;5
38;135;77;47;10;13,5;10;0;0;1;1
39;100;78;44;8;13,5;20;0;0;1;1
40;136;64;38;8;3;3;1;0;1;1
41;133;80;48;10;10,5;10;1;0;0;7
42;145;85;58;8;12;4;1;1;1;8
43;220;103;49;13;14,5;10;1;1;1;3
44;110;81;45;10;13;12;1;0;1;5
45;95;64;45;6;12,5;10;1;0;0;2
46;76;55;36;6;12,5;15;0;1;0;3
47;139;80;48;10;10,5;15;1;0;1;7
48;350;80;44;14;10,5;10;1;1;0;7
49;105;66;40;8;12,5;5;1;0;1;2
50;110;51;34;6;3,5;7;1;0;1;7
51;90;60;45;6;13,5;5;1;0;1;6
52;130;80;46;10;10,5;15;1;0;1;7
53;165;65;45;9;9;10;1;1;1;3
54;158;78;48;9;9;4;1;1;1;4
55;210;80;42;20;8;5;1;0;1;1
56;470;120;75;18;9;10;1;1;1;3
57;105;57;42;6;3;15;1;1;1;1
58;169;70;44;8;8;5;1;1;1;1
59;136;78;46;10;12,5;5;0;0;0;2
60;130;81;56;9;6;7;1;1;1;6
61;84;58;43;5;12;15;1;1;0;7
62;74;60;43;6;13,5;5;0;0;0;6
63;138;77;45;10;13;5;0;0;1;5
64;125;62;42;10;12;10;1;0;1;1
65;105;57;40;6;4,5;5;1;1;1;8
66;120;56;42;6;12;5;1;1;1;7
67;110;83;47;10;17;10;1;0;1;4
68;120;74;40;12;12,7;7;1;1;1;5
69;144;80;51;10;13,5;10;1;0;1;1
70;140;56;40;5;9;5;1;1;0;3
71;106;58;44;6;7;10;0;0;0;4
72;105;56;42;6;3;15;1;1;1;1
73;120;82;44;11;12,7;12;1;0;1;5
74;225;80;53;9;7;5;1;1;1;4
75;94;59;43;5;14,5;5;0;0;1;3
76;177;80;50;9;4,5;2;1;0;0;8
77;113;75;45;10;12;7;1;0;1;5
78;145;78;50;10;12;3;1;0;1;5
79;90;56;41;5;6;15;1;1;1;6
80;135;84;45;11;12;10;0;0;1;7
81;100;80;45;12;12,7;15;1;0;1;5
82;95;65;47;9;13,5;7;1;0;1;6
83;114;80;45;13;12;7;1;0;0;5
84;107;74;44;11;13;5;0;0;0;5
85;106;76;43;12;13;5;0;0;0;5
86;106;76;46;10;13;5;0;0;1;5
87;124;78;55;8;13,5;10;1;1;1;1
88;112;65;40;8;17;5;1;0;0;2
89;80;60;44;6;13,5;10;0;0;1;6
90;138;68;46;8;9;10;1;0;1;4
91;132;77;43;8;12,5;5;1;0;1;2
92;86;50;34;6;12;10;0;0;0;8
93;270;105;74;18;5;1;1;1;1;4
94;85;60;43;6;14,5;6;0;0;1;2
95;135;76;44;10;12,7;2;1;0;0;5
96;200;122;68;12;10;5;1;0;1;6
97;90;51;35;6;7;3;1;0;1;4
98;133;65;47;8;12,5;2;1;0;1;3
99;103;69;44;9;14,5;10;0;0;1;3
100;89;61;44;6;12,5;10;1;0;1;2
101;166;77;45;11;10,5;15;1;1;1;3
102;78;55;37;6;11,5;2;1;1;1;6
103;110;77;45;10;12;10;0;0;1;7
104;100;80;51;10;13,5;10;0;0;1;6
105;127;76;42;10;13,5;10;0;0;1;6
106;99;79;62;6;17;2;1;1;0;4
107;118;67;44;8;6;10;1;0;1;6
108;130;56;41;6;9;5;1;1;0;3
109;118;68;49;11;7,5;7;1;0;0;8
110;100;65;46;6;15,5;7;1;0;1;1
111;195;83;55;9;9;3;1;1;1;3
112;120;66;40;19;7,5;10;1;1;1;8
113;95;60;43;6;14,5;10;1;0;1;3
114;110;58;43;6;14,5;10;1;1;1;3
115;80;55;41;5;11,5;3;1;1;1;6
116;235;92;52;15;3,5;3;1;0;1;7
117;93;60;38;8;12;5;1;0;1;5
118;115;77;46;10;12,7;7;1;0;1;5
119;140;76;44;10;12;2;1;0;1;5
120;92;82;48;8;13;12;0;0;1;5
121;230;103;51;14;14,5;15;1;1;1;3
122;135;77;46;10;12,7;2;1;0;1;5
123;125;78;60;11;14,5;10;0;0;1;3
124;136;74;45;10;13,5;5;0;0;1;1
125;170;80;48;9;14,5;7;1;1;1;3
126;105;75;45;10;12;7;1;0;1;5
127;125;82;52;12;13,5;10;0;0;0;6
128;73;61;41;6;13;10;0;0;0;5
129;92;60;45;6;9;7;0;1;1;3
130;90;57;38;6;7,5;6;1;1;0;3
131;145;85;54;11;8;10;0;1;1;1
132;299;99;65;11;9;10;1;1;1;3
133;127;77;46;10;12,5;10;1;0;1;2
134;84;58;43;5;12;15;1;1;0;7
135;195;110;55;11;12;1;1;1;1;7
136;170;81;60;13;13;5;1;0;1;5
137;95;67;45;9;13,5;10;0;0;0;1
138;450;145;82;14;4,5;3;1;1;1;8
139;160;85;56;12;6,5;10;1;1;1;2
140;226;82;52;10;3;3;1;0;1;1
141;105;66;48;8;12;1;1;0;0;5
142;115;57;42;6;10,5;4;0;1;1;3
143;82;57;46;6;12;10;1;1;1;7
144;130;74;53;7;4,5;7;1;1;1;8
145;90;61;49;6;12;10;1;0;1;8
146;193;100;56;12;12;10;0;1;1;7
147;138;65;47;9;5;10;1;0;1;4
148;123;83;50;11;12,7;15;1;0;1;5
149;120;82;53;9;11,5;10;0;1;1;6
150;86;56;39;6;12,5;10;0;0;1;3
151;103;64;40;8;17;5;1;0;1;2
152;123;85;51;10;12,7;3;1;0;1;5
153;110;69;44;10;12;5;1;0;1;7
154;88;60;44;10;12;10;0;0;0;7
155;116;75;46;10;13,5;10;0;0;1;6
156;119;71;52;8;8;10;0;1;0;1
157;85;55;40;6;11;5;0;1;1;8
158;93;79;45;10;13;7;0;0;0;5
159;127;79;45;13;12;3;1;0;1;1
160;99;72;50;9;7,5;10;0;1;1;8
161;91;60;44;6;12;10;1;1;1;7
162;122;68;44;8;10,5;5;0;0;1;3
163;84;76;45;10;17;10;1;0;1;4
164;73;51;34;6;7;7;1;0;1;5
165;85;58;39;6;10;7;0;0;1;6
166;116;75;44;13;12;10;1;0;1;1
167;136;76;44;10;14,5;9;0;0;1;3
168;88;56;36;6;17;10;0;0;1;2
169;135;74;44;10;10,5;7;1;0;0;3
170;100;68;53;6;12;10;1;0;1;7
171;115;66;37;7;11;7;1;0;1;8
172;95;55;35;8;7,5;7;1;1;1;3
173;114;75;44;10;13;2;1;0;1;5
174;105;78;50;8;9;10;1;1;0;4
175;125;75;53;8;11;3;1;1;1;8
176;100;65;39;9;17;10;1;0;1;2
177;93;64;41;7;14,5;3;1;0;1;2
178;165;99;70;9;7,5;7;0;1;1;8
179;148;84;52;8;6,5;3;1;1;1;5
180;148;74;51;9;7,5;10;1;1;1;3
181;123;79;45;13;9;20;1;0;1;4
182;100;58;42;5;12;10;0;1;1;8
183;120;100;63;9;13;7;0;0;1;5
184;78;59;42;6;12,5;10;0;0;0;2
185;88;51;35;6;10,5;3;1;0;1;7
186;135;85;53;9;10,5;7;0;1;0;3
187;299;100;65;11;9;10;1;0;1;3
188;111;81;45;9;14,5;10;0;0;0;3
189;102;65;44;7;13,5;10;1;0;1;6
190;94;65;45;7;14,5;10;1;0;0;2
191;164;90;52;13;10;3;1;1;1;6
192;110;63;45;7;13,5;10;1;0;1;1
193;137;78;51;9;6;15;1;1;1;6
194;132;88;55;14;17;5;1;0;1;4
195;103;63;38;8;10,5;10;0;0;1;3
196;79;49;33;6;14,5;10;1;0;0;3
197;108;66;43;7;17;5;1;0;1;4
198;160;79;51;12;3;8;1;1;1;1
199;122;96;51;12;13,5;10;0;0;0;6
200;87;55;38;5;6,5;5;1;1;1;5
201;92;69;47;6;12;10;0;0;0;7
202;150;77;42;8;6;15;1;0;1;6
203;112;76;54;8;10,5;15;1;1;0;7
204;100;75;45;10;13;5;0;0;1;5
205;103;64;45;6;17;5;1;0;1;2
206;165;78;47;9;5;10;1;1;1;4
207;85;60;38;6;17;7;1;0;0;2
208;95;65;39;8;12;15;1;0;1;7
209;141;113;58;13;13,5;10;0;0;1;1
210;113;77;50;8;12,5;15;0;1;0;3
211;125;73;52;8;11;10;1;1;1;8
212;170;71;47;8;7,5;10;1;1;1;3
213;112;72;51;8;6,5;5;1;1;1;5
214;131;76;45;10;12;7;1;0;1;1
215;110;77;46;9;13;5;1;0;0;5
216;132;69;44;8;8;10;1;0;1;1
217;135;100;50;10;15,5;10;1;0;1;1
218;95;63;39;8;14,5;15;1;0;1;2
219;140;77;45;10;10;5;1;0;1;6
220;120;77;45;10;13;10;1;0;1;5
221;165;96;58;14;7;5;0;0;1;4
222;96;64;41;9;13,5;12;1;0;1;1
223;168;84;54;8;7,5;10;1;1;1;8
224;150;78;45;10;14,5;10;0;0;1;3
225;85;65;43;10;12;5;0;0;1;5
226;138;86;50;10;13,5;10;1;1;1;1
227;117;80;44;13;10,5;10;0;0;1;3
228;154;95;51;11;6,5;3;1;1;1;5
229;84;60;43;6;12;10;1;0;1;5
230;93;61;43;6;14,5;7;0;0;1;2
231;130;77;47;11;11;7;1;0;1;5
232;105;66;44;7;3,5;10;1;0;1;7
233;120;76;45;10;13;10;1;0;1;5
234;105;60;35;8;11;5;1;1;1;8
235;75;53;35;7;11,5;5;1;1;0;6
236;110;77;46;10;6;10;0;0;1;6
237;115;85;52;10;12;10;1;0;1;5
238;78;57;37;6;13,5;10;1;0;1;6
239;227;134;70;16;9;5;1;0;1;4
240;106;70;43;10;12,7;10;1;0;0;5
241;120;74;45;10;13;15;1;0;1;5
242;220;81;46;13;9;7;1;0;1;4
243;115;62;38;9;17;7;1;0;0;2
244;83;61;38;6;13;10;0;0;0;5
245;105;64;45;6;13,5;7;1;0;1;1
246;120;57;43;6;8;5;1;1;0;1
247;140;70;45;10;9;10;1;0;1;3
248;120;75;43;10;17;10;1;0;1;2
249;170;92;62;18;6;7;1;1;1;6
250;105;73;49;8;11,5;5;1;0;0;6
251;86;61;42;6;12;7;0;1;1;5
252;85;59;40;6;10;5;0;0;1;6
253;140;82;47;11;12,5;10;1;1;0;2
254;104;84;52;11;13;5;0;0;1;5
255;87;61;43;6;12;15;1;0;1;7
256;115;71;42;10;12;5;1;0;0;8
257;120;80;47;9;13,5;10;0;0;1;6
258;98;74;44;10;12;15;1;0;0;7
259;158;78;48;12;9;4;1;1;1;4
260;158;64;44;9;7;3;1;0;1;4
261;160;86;51;8;12;2;1;1;1;7
262;80;56;37;6;10;1;1;0;0;6
263;115;66;38;7;11;7;1;1;1;8
264;260;70;45;8;8;7;1;1;0;1
265;125;77;46;10;10,5;15;1;0;1;7
266;103;67;43;9;13,5;10;0;0;1;1
267;130;72;47;10;13,5;7;1;1;0;1
268;130;72;42;9;12;5;1;0;1;1
269;86;56;42;5;6,5;5;1;1;0;5
270;190;106;58;24;9;5;0;0;1;4
271;118;78;52;9;11;5;1;1;1;5
272;77;50;34;6;13,5;2;1;0;1;6
273;150;76;45;10;12;5;1;0;1;1
274;350;113;85;20;9;10;1;0;1;3
275;89;60;43;6;15,5;5;1;1;1;1
276;170;76;50;10;5;5;1;1;1;4
277;89;55;37;6;10,5;10;1;1;1;3
278;110;77;40;11;12,7;15;1;0;1;5
279;130;78;46;10;14,5;7;1;0;1;2
280;87;90;57;13;14,5;15;1;1;1;2
281;124;77;44;10;14,5;5;0;0;1;2
282;107;65;39;8;12,5;20;1;0;1;2
283;180;83;53;8;12;5;1;1;1;7
284;110;76;45;10;13;10;1;0;1;5
285;210;105;55;14;17;5;0;0;1;2
286;95;64;45;6;12,5;10;1;0;1;2
287;145;73;45;7;9;1;1;1;1;4
288;87;58;40;6;6,5;5;1;0;0;2
289;118;84;48;9;12,7;5;0;0;1;5
290;86;58;38;8;11,5;7;1;0;1;6
291;85;65;43;5;7,5;5;1;1;1;8
292;210;81;48;10;3;5;1;1;1;1
293;85;60;43;6;12;5;1;0;1;5
294;135;83;53;9;13,5;10;0;0;1;1
295;235;101;59;15;8;7;1;1;1;1
296;105;69;43;6;17;5;1;0;1;4
297;185;95;57;12;5;5;1;0;0;4
298;215;86;58;12;3;5;1;1;1;1
299;99;62;39;8;17;10;1;0;1;2
300;144;80;48;13;15,5;10;1;0;1;1
301;205;88;59;9;9;10;1;1;0;3
302;145;84;53;10;15,5;15;1;0;1;1
303;150;86;53;9;11,5;1;1;0;1;6
304;98;54;36;5;3,5;12;1;1;1;7
305;135;80;45;13;12,5;5;0;0;1;3
306;105;53;39;5;3,5;7;1;1;0;7
307;125;67;46;8;12,5;15;1;0;1;3
308;115;77;51;7;5;5;1;1;0;4
309;96;60;38;6;12;5;0;0;1;7
310;105;74;45;10;13;10;1;0;0;5
311;81;53;34;6;13;15;1;0;0;5
312;177;103;54;11;9;5;1;0;1;3
313;119;80;51;8;11,5;15;1;0;1;6
314;120;81;48;8;13;7;1;0;1;5
315;85;59;38;6;13,5;10;1;0;1;6
316;140;74;45;10;12,5;2;1;0;1;2
317;455;192;92;18;7,5;5;1;0;1;3
318;194;105;58;11;9;5;1;0;1;3
319;100;57;40;6;8;5;1;0;1;1
320;140;80;51;10;13,5;10;1;1;1;1
321;160;101;51;15;7;7;1;0;1;5
322;130;83;48;9;12,7;5;1;0;1;5
323;120;84;45;11;7;10;1;0;1;5
324;360;103;80;14;3;3;1;1;1;1
325;118;63;37;8;14,5;5;1;0;1;3
326;113;76;46;10;13;7;1;0;1;5
327;107;67;41;9;12,5;10;1;0;1;2
328;134;69;47;8;5;10;1;0;1;4
329;110;86;53;9;10,5;5;0;0;0;3
330;170;100;57;10;13,5;15;0;0;0;6
331;90;61;45;6;13,5;15;1;0;1;6
332;88;51;34;6;14,5;10;1;0;1;3
333;80;60;44;6;13,5;5;1;0;1;6
334;130;75;48;13;12,7;5;0;0;1;5
335;170;53;33;9;3;10;1;1;1;1
336;104;72;46;11;12,5;10;0;1;0;3
337;114;75;54;7;12;7;1;1;1;7
338;145;76;48;9;13,5;10;0;0;1;6
339;112;63;45;7;13,5;7;0;0;1;1
340;130;81;56;9;6;7;1;1;0;6
341;105;78;44;10;13;15;1;0;1;5
342;116;77;45;10;6;7;0;0;1;6
343;105;66;44;7;13,5;10;1;0;1;6
344;150;76;45;10;7;10;0;0;1;4
345;95;60;44;6;12;10;1;0;0;8
346;82;59;45;6;10;7;1;1;0;6
347;75;55;36;6;14,5;7;0;1;0;2
348;120;76;51;9;13,5;5;1;0;1;6
349;100;79;51;10;13,5;10;0;0;1;6
350;155;74;43;10;9;5;0;0;1;4
351;139;68;46;8;9;5;1;0;1;4
352;115;76;54;9;13;5;1;0;0;5
353;77;60;44;6;13;15;1;0;0;5
354;135;68;32;13;3;10;1;1;1;1
355;103;76;45;10;13;5;0;0;1;5
356;78;52;34;6;13;15;1;0;1;5
357;86;55;40;5;7;2;0;0;1;4
358;130;80;38;11;12,7;10;1;0;1;5
359;117;77;44;10;17;3;1;0;0;2
360;116;76;45;10;7;10;1;0;1;5
361;131;74;42;10;13,5;10;1;0;1;1
362;108;78;46;10;12,7;10;1;0;1;5
363;110;60;41;6;12;10;1;0;1;8
364;136;78;48;9;12,5;15;1;0;1;2
365;120;65;44;8;9;5;1;0;1;4
366;93;63;40;8;11;12;1;0;1;5
367;152;95;62;10;12,7;5;1;0;1;5
368;185;80;45;13;12;5;0;0;1;8
369;106;68;47;8;13,5;7;0;0;1;6
370;128;78;54;9;6,5;5;1;0;1;5
371;135;81;53;8;11,5;4;1;1;1;6
372;114;79;45;13;14,5;7;0;0;1;3
373;95;64;39;8;12,5;10;1;0;0;2
374;85;57;37;5;12;7;0;0;1;8
375;87;56;35;6;12;7;1;0;1;8
376;89;60;45;6;13,5;10;0;0;1;1
377;112;77;45;10;10;7;0;0;1;6
378;160;93;57;12;12,7;5;1;0;1;5
379;90;57;40;5;13,5;10;1;1;1;1
380;160;82;54;8;9;7;1;1;1;4
381;165;74;41;9;6,5;5;1;1;1;2
382;162;90;53;13;10;7;1;1;1;6
383;145;73;43;11;9;10;0;0;1;4
384;90;60;40;7;13,5;9;1;0;1;6
385;79;54;35;5;12,5;10;0;1;1;3
386;105;77;45;10;14,5;10;0;0;1;3
387;280;145;66;16;12,7;3;1;0;0;5
388;80;58;38;7;13,5;5;0;0;1;6
389;110;65;45;7;13,5;7;1;0;1;1
390;165;100;54;12;6,5;3;1;0;1;5
391;147;111;65;16;14,5;6;0;1;1;3
392;96;60;45;6;15,5;5;1;0;1;1
393;125;90;54;8;12;15;0;0;1;7
394;125;80;47;10;12;15;0;0;1;7
395;200;100;66;21;9;15;1;1;1;3
396;120;64;46;6;7;3;1;0;1;4
397;112;60;39;6;3,5;3;1;0;1;7
398;94;60;44;6;15,5;5;1;0;1;1
399;77;60;43;6;12;6;0;0;1;7
400;96;65;45;7;12,5;15;1;1;1;2
401;118;78;46;10;13,5;10;1;0;1;6
402;123;77;45;10;17;7;1;0;1;2
403;110;70;40;6;12;2;1;1;0;8
404;162;90;61;10;10,5;3;1;1;1;3
405;85;58;45;6;10;3;1;0;1;6
406;109;75;45;10;13,5;5;1;0;0;1
407;85;59;42;6;10,5;7;0;0;0;3
408;134;84;52;8;12;7;1;1;1;8
409;140;76;44;10;12,5;5;1;0;1;2
410;94;65;45;7;17;10;1;0;0;2
411;155;85;47;11;12,7;5;1;0;1;5
412;108;81;48;8;13;15;0;0;1;5
413;108;66;43;7;17;2;1;0;1;4
414;135;76;50;8;10,5;15;1;0;1;3
415;135;77;50;8;10,5;10;0;1;1;3
416;87;61;43;6;12;15;1;0;1;7
417;94;62;38;8;17;3;1;0;1;4
418;160;80;51;8;3;10;1;1;1;1
419;125;77;40;11;13;10;0;1;1;5
420;120;68;47;8;12,5;5;0;0;0;3
421;95;75;43;11;14,5;10;0;0;1;3
422;190;77;54;9;9;5;0;1;1;3
423;151;102;70;9;10,5;12;1;1;1;7
424;160;77;48;8;12;7;1;1;0;8
425;87;58;45;5;10;3;1;0;1;6
426;170;102;58;12;13;5;1;0;1;5
427;110;75;53;10;10,5;15;1;0;0;7
428;92;60;44;6;12,5;15;1;0;0;2
429;149;95;57;8;10,5;15;0;1;1;3
430;95;61;43;6;14,5;5;1;0;1;2
431;96;60;45;6;12;10;1;0;1;7
432;93;59;38;6;13,5;7;1;0;0;6
433;82;54;35;6;9;10;1;1;0;4
434;98;60;44;6;14,5;15;1;0;1;3
435;175;83;55;9;3;15;1;1;1;1
436;87;63;45;6;10;10;1;0;0;6
437;220;148;85;14;14,5;7;0;1;1;3
438;115;75;42;8;12;15;0;0;1;7
439;250;100;50;15;12,7;5;1;0;1;5
440;165;69;47;7;4,5;5;0;1;1;8
441;110;77;46;9;15,5;3;1;0;1;1
442;470;146;86;16;14,5;5;1;1;1;3
443;113;75;45;10;13;10;1;0;1;5
444;200;71;46;8;4,5;5;1;1;0;8
445;100;75;45;10;13;5;0;0;1;5
446;170;82;52;15;5;1;1;1;1;4
447;163;115;66;15;13,5;10;0;0;1;1
448;115;80;48;12;12,7;5;0;0;1;5
449;129;66;44;9;9;15;1;0;0;4
450;104;72;48;9;10,5;10;1;0;0;3
451;145;71;43;8;9;5;1;1;0;3
452;100;75;45;10;12;10;1;1;1;5
453;138;66;44;14;4,5;2;1;0;1;8
454;109;79;45;13;14,5;5;0;0;1;3
455;80;56;37;6;12;10;1;1;0;8
456;112;74;44;11;12,7;10;1;0;1;5
457;127;79;46;10;17;5;1;0;1;2
458;74;51;35;6;13,5;10;1;0;0;6
459;138;69;45;9;4,5;5;1;0;1;8
460;144;66;45;8;9;7;1;1;1;3
461;102;58;41;6;11;5;1;1;1;8
462;150;84;48;10;13,5;10;0;0;0;6
463;110;76;45;10;14,5;10;0;0;1;3
464;75;51;34;6;14,5;7;0;0;1;3
465;92;60;45;6;15,5;5;1;0;1;1
466;105;55;40;6;9;7;0;0;1;4
